rank,id,player,rating,matches,wins,losses,last_match
1,2064505,SuperCam | Zoroaster,2487.05,41,41,0,2026-02-21
2,2193397,TheCompany | storm,2425.94,58,52,6,2026-02-28
3,1080845,UTK | DBQ | HammerBro,2224.96,112,93,19,2026-04-25
4,205609,IMMRTL | Drevis,2028.28,56,43,13,2026-04-25
5,2539902,Owls,1964.93,470,328,142,2026-04-20
6,64572,ishy,1934.65,596,431,165,2026-04-20
7,1061488,Elfy,1904.14,35,22,13,2026-02-28
8,1034981,TheCompany | Hidalgo,1859.8,89,63,26,2026-01-24
9,2297057,Pronoun Gang | FreshBot,1854.48,64,42,22,2026-04-20
10,809159,chaddy,1822.61,46,28,18,2025-11-15
11,1029144,poisonous_paint,1816.24,471,300,171,2026-04-20
12,793366,Nanoir,1815.63,57,37,20,2026-02-28
13,224510,KornDog | KornDog,1801.85,497,340,157,2026-04-25
14,228065,pp | samedwin,1760.57,277,199,78,2026-04-25
15,1560318,TheCompany | SmokedSam,1736.96,137,91,46,2026-02-28
16,1281231,KornDog | Goose,1725.9,200,132,68,2026-03-07
17,1152280,LAB | pp | Canis,1660.12,461,283,178,2026-04-19
18,1525406,KornDog | Coffee,1658.84,283,176,107,2026-04-19
19,3167331,NANA!!! | Harlequinn,1655.84,81,49,32,2026-04-25
20,2371353,TNSPIDURZZ | Hutchzilla,1652.3,48,30,18,2026-02-28
21,1851257,HWNT | Sweet TeaS,1610.55,46,28,18,2026-02-28
22,2629500,CookedCanard,1592.43,404,221,183,2026-04-19
23,2263984,z0id | AhribockanonaD.E.M.,1590.65,47,25,22,2026-04-18
24,1288123,AL | Fulkssie,1589.23,632,359,273,2026-04-19
25,1557502,KornDog | UTK | ChillMonkey,1499.25,122,67,55,2025-05-03
26,1086128,Beelzebub,1488.24,189,102,87,2026-04-25
27,2433497,KornDog | E Man,1485.95,368,187,181,2026-04-18
28,2544855,LS | Avahe,1423.48,85,47,38,2025-11-15
29,3081799,ETSU | FoxboxRay,1411.96,229,120,109,2026-04-18
30,987081,z0id | soup,1410.14,77,36,41,2026-04-25
31,2978381,ETSU | Kurgo,1370.8,285,124,161,2026-04-19
32,2598494,SNIZ | TheRevival,1353.4,86,46,40,2025-11-15
33,2417624,CHEF | Mayer,1346.03,299,148,151,2025-05-02
34,2006930,pp | palaidan,1327.48,185,99,86,2025-11-15
35,159433,MaYo,1326.57,35,20,15,2026-03-07
36,3644031,Sol,1320.43,161,65,96,2026-04-25
37,2965360,Marcelainspanish,1316.94,191,103,88,2025-11-08
38,847786,diva brando,1291.21,124,67,57,2025-09-06
39,613483,Doup | colt,1281.8,356,187,169,2026-04-25
40,2396700,Xandar,1262.71,34,16,18,2025-11-15
41,3182818,KornDog | Allo,1241.11,46,21,25,2026-02-14
42,3593091,HOODLUMS | Stickfan,1211.65,276,119,157,2026-04-17
43,2435358,Liquid | sip the drank or else,1203.27,31,15,16,2026-04-18
44,2379654,Schizo Coati,1189.25,99,40,59,2026-04-25
45,2464010,Lowtierfrog,1179.66,131,44,87,2026-04-25
46,864802,Lenkrow,1178.25,35,13,22,2026-04-25
47,1108208,KornDog | Dr./Mr.Shnazzy,1124.24,354,143,211,2026-04-25
48,3112289,KornDog | OatNeil314,1094.09,75,31,44,2026-03-07
49,1603916,blaz1ng,1052.68,53,13,40,2025-04-30
50,2770921,BuyingLake,1044.79,222,69,153,2026-04-18
51,3652534,Shroom | Jonald,1039.49,46,12,34,2026-01-24
52,4288755,Nessie,1036.82,86,26,60,2026-04-24
53,3057747,pp | sparx1o1,1025.26,179,52,127,2025-11-15
54,3593184,Dragonfire | Hearth,996.66,78,21,57,2025-12-06
55,4946591,Ø | Ves,952.95,51,17,34,2026-04-11
56,2998902,Merlin,946.91,40,9,31,2025-05-02
57,2978351,veto,925.77,52,15,37,2025-04-26
58,3607435,Juliano,840.08,103,20,83,2026-02-07
59,3020775,SWAG | Pinu,778.27,145,30,115,2026-02-14
60,3627071,Minus Strike,760.88,32,10,22,2025-09-26
61,4939072,Slippy,760.09,35,3,32,2026-04-25
62,3607165,NamesRHard,707.11,85,13,72,2025-10-17
63,3596097,beans | justa_noob,404.92,87,4,83,2026-04-10
