Rank,Id,Player,Elo,Sets,LastMatch,RankChange
1,2064505,SuperCam | Zoroaster,1888.7,39,2026-02-20,0
2,64572,BRAVO | ishy,1833.95,506,2026-02-13,0
3,2193397,TheCompany | storm,1794.93,39,2025-11-21,0
4,1080845,UTK | DBQ | HammerBro,1791.51,82,2025-11-21,0
5,2539902,Horchata | Owls,1769.07,410,2025-11-15,0
6,1152280,BOTS | pp | Canis,1730.71,402,2026-02-20,0
7,2297057,Pronoun Gang | FreshBot,1711.49,48,2026-02-14,0
8,1525406,KornDog | Coffee,1692.95,232,2026-02-13,0
9,1029144,O.E.M,1681.76,402,2025-12-05,0
10,1560318,Hatsune Pyukumuku,1670.06,113,2025-11-15,0
11,1288123,AL | Fulkssie,1663.86,533,2026-02-20,0
12,228065,pp | samedwin,1661.42,229,2026-01-23,0
13,1034981,TheCompany | Hidalgo,1649.65,75,2026-01-23,0
14,224510,KornDog | KornDog,1645.88,422,2026-02-20,0
15,1587053,Viridian,1631.08,37,2025-03-29,0
16,793366,Nanoir,1619.58,37,2025-11-15,0
17,205609,Drevis,1614.23,35,2025-11-15,0
18,2371353,WNL|TheCompany | Hutchzilla,1595.17,42,2025-11-21,0
19,2629500,pp | CookedCanard,1585.12,344,2026-02-20,0
20,1281231,Goose,1575.53,176,2025-03-29,0
21,1851257,Sweet TeaS,1561.93,34,2025-11-15,0
22,1061488,Elfy,1557.39,26,2025-11-15,0
23,2433497,KornDog | E Man,1549.9,300,2026-02-20,0
24,3167331,NANA!!! | Harlequinn,1549.18,35,2026-02-20,0
25,2263984,z0id | AhribockanonaD.E.M.,1542.53,36,2026-01-23,0
26,2544855,LS | Avahe,1540.64,69,2025-11-15,0
27,809159,chaddy,1529.74,35,2025-11-15,0
28,1557502,KornDog | UTK | ChillMonkey,1526.07,107,2025-05-02,0
29,2417624,CHEF | Mayer,1521.79,259,2025-05-02,0
30,1279386,Lazy | L,1517.37,30,2025-03-08,0
31,3081799,ETSU | FoxboxRay,1510.31,197,2025-11-21,0
32,2435358,UTK | Self-Made Gorillionaire,1506.98,28,2025-04-25,+1
33,847786,diva brando,1505.93,102,2025-09-05,-1
34,2006930,pp | palaidan,1502.41,164,2025-11-15,0
35,2965360,Marcelainspanish,1501.38,162,2025-11-07,0
36,1080423,FarmingSim,1500.43,26,2025-03-29,0
37,2978381,ETSU | Kurgo,1500.38,230,2026-02-14,0
38,2396700,Xandar,1499.47,26,2025-11-15,0
39,1086128,Beelzebub,1489.53,144,2026-02-20,0
40,4575020,dyl_0209,1488.86,20,2026-02-20,0
41,1562522,PuppyCat,1485.08,22,2025-03-29,0
42,159433,MaYo,1483.59,24,2025-11-15,0
43,2598494,SNIZ | TheRevival,1473.77,73,2025-11-15,0
44,3593091,HOODLUMS | Stickfan,1472.02,228,2026-02-14,0
45,2607442,Thebossman,1468.2,24,2025-12-05,0
46,2379654,LaziLombardi,1456.36,73,2026-02-06,0
47,1980868,TOMAFIA | Joe Cool,1455.56,43,2025-03-07,0
48,1603916,blaz1ng,1452.49,42,2025-04-30,0
49,3182818,KornDog | Allo,1452.18,31,2026-02-14,0
50,2978351,veto,1448.43,42,2025-04-25,0
51,2998902,Merlin,1441.86,33,2025-05-02,0
52,3112289,KornDog | OatNeil314,1434.97,64,2025-09-05,0
53,613483,Doup | colt,1433.51,288,2026-02-20,0
54,987081,z0id | soup,1431.07,41,2026-01-23,0
55,3644031,Sol,1410.3,119,2026-02-14,0
56,3627071,Minus Strike,1402.09,26,2025-09-26,0
57,2509116,Avery,1395.19,89,2025-04-11,0
58,3668306,Special | Slurby,1380.97,22,2025-10-10,0
59,3652534,Shroom | Jonald,1377.21,36,2026-01-24,0
60,1108208,KornDog | Dr./Mr.Shnazzy,1354.62,285,2026-02-20,0
61,2464010,Lowtierfrog,1339.74,92,2026-02-20,0
62,4946591,Ø | Ves,1325.77,36,2026-02-20,0
63,4419757,Leafe-off,1322.98,27,2026-02-13,0
64,4288755,Nessie,1321.61,63,2026-02-20,0
65,3593184,Dragonfire | Hearth,1318.78,67,2025-12-05,0
66,3057747,pp | sparx1o1,1312.61,157,2025-11-15,0
67,3607435,Juliano,1273.71,87,2026-02-06,0
68,3607165,NamesRHard,1265.79,75,2025-10-17,0
69,2770921,BuyingLake,1256.89,171,2026-02-20,0
70,3020775,SWAG | Pinu,1255.24,125,2026-02-13,0
71,3596097,beans | justa_noob,1219.09,70,2026-02-06,0
