Rank,Id,Player,Elo,Sets,LastMatch
1,2193397,TheCompany | storm,1723.52,58,2026-02-27
2,1080845,UTK | DBQ | HammerBro,1719.26,112,2026-04-24
3,2539902,Owls,1718.27,470,2026-04-19
4,64572,ishy,1694.97,596,2026-04-19
5,477716,Buzzeh,1688.96,97,2023-01-05
6,1029144,poisonous_paint,1681.16,471,2026-04-19
7,2064505,SuperCam | Zoroaster,1680.57,41,2026-02-20
8,1587053,Viridian,1674.56,47,2025-03-29
9,228065,pp | samedwin,1662.02,277,2026-04-24
10,224510,KornDog | KornDog,1659.42,497,2026-04-24
11,205609,IMMRTL | Drevis,1656.99,56,2026-04-24
12,1034981,TheCompany | Hidalgo,1647.15,89,2026-01-23
13,1560318,TheCompany | SmokedSam,1638.98,137,2026-02-27
14,541120,DOOB | idlehands,1637.37,85,2024-03-08
15,1288123,AL | Fulkssie,1630.2,632,2026-04-19
16,1525406,KornDog | Coffee,1629.84,283,2026-04-19
17,1152280,LAB | pp | Canis,1620.84,461,2026-04-19
18,2297057,Pronoun Gang | FreshBot,1617.84,64,2026-04-19
19,1281231,KornDog | Goose,1615.34,200,2026-03-06
20,2629500,CookedCanard,1612.76,404,2026-04-19
21,1309757,KornDog | Uncle_58,1612.13,89,2024-11-22
22,2608231,self,1604.58,26,2025-11-15
23,436261,KornDog | BrandonBSaysWhat,1587.75,142,2023-12-03
24,1851257,HWNT | Sweet TeaS,1587.39,46,2026-02-27
25,913299,TCS | Pajarito,1586.86,29,2025-03-29
26,1636860,GeeMonee,1584.38,61,2023-03-24
27,637418,WNL | Lem0nade,1580.91,26,2025-10-24
28,1271534,BB | Frappe,1576.7,26,2024-03-23
29,2030715,WNL | Ender,1573.7,53,2023-04-22
30,1183062,DBQ | SoloJones,1571.05,30,2024-03-23
31,793366,Nanoir,1569.54,57,2026-02-27
32,1317909,KornDog | approximately 7 moths,1561.81,48,2024-09-13
33,2433497,KornDog | E Man,1559.89,368,2026-04-17
34,3167331,NANA!!! | Harlequinn,1554.33,81,2026-04-24
35,226882,dbls,1553.74,39,2024-11-15
36,1086128,Beelzebub,1552.37,189,2026-04-24
37,809159,chaddy,1552.03,46,2025-11-15
38,2371353,TNSPIDURZZ | Hutchzilla,1551.43,48,2026-02-27
39,2232643,MS | KornDog | YoshiTails1,1549.06,27,2024-03-23
40,2544855,LS | Avahe,1548.65,85,2025-11-15
41,1061488,Elfy,1543.26,35,2026-02-27
42,411381,Orion | GUMMY,1540.84,33,2022-05-12
43,1557502,KornDog | UTK | ChillMonkey,1538.61,122,2025-05-02
44,389201,BOJ | Harlequin,1537.25,67,2024-03-23
45,678943,sejong,1533.14,30,2024-02-10
46,2417624,CHEF | Mayer,1531.58,299,2025-05-02
47,3081799,ETSU | FoxboxRay,1530.97,229,2026-04-17
48,2756657,Awesum,1529.8,33,2024-04-26
49,847786,diva brando,1527.83,124,2025-09-05
50,2076715,Uw Spawn Man,1526.31,30,2025-02-07
51,444554,SMFN | _Peak,1525.7,55,2023-01-14
52,1080423,FarmingSim,1524.9,31,2025-03-29
53,2263984,z0id | AhribockanonaD.E.M.,1522.86,47,2026-04-17
54,2965360,Marcelainspanish,1520.04,191,2025-11-07
55,1279386,Lazy | L,1517.68,36,2025-03-08
56,159433,MaYo,1513.3,35,2026-03-06
57,1395287,KD | renko!,1513.01,113,2024-11-22
58,2006930,pp | palaidan,1511.61,185,2025-11-15
59,2396700,Xandar,1509.55,34,2025-11-15
60,870716,PRISM | Jimbo From Online,1509.35,81,2024-03-23
61,2038844,D3eity,1508.45,44,2022-09-03
62,613483,Doup | colt,1507.28,356,2026-04-24
63,2598494,SNIZ | TheRevival,1501.06,86,2025-11-15
64,2435358,Liquid | sip the drank or else,1497.29,31,2026-04-17
65,987081,z0id | soup,1496.21,77,2026-04-24
66,2757397,Hype,1492.17,63,2024-01-19
67,1562522,PuppyCat,1490.62,27,2025-03-29
68,1278949,OG | Capt.C,1489.78,69,2022-12-29
69,2978381,ETSU | Kurgo,1488.54,285,2026-04-19
70,1107122,DDLG | benJAMIN,1484.28,31,2023-04-01
71,3182818,KornDog | Allo,1474.23,46,2026-02-14
72,2607442,Thebossman,1468.47,26,2025-12-05
73,2379654,Schizo Coati,1460.72,99,2026-04-24
74,1589220,TRT/FTE | Wyattz,1459.24,41,2024-03-23
75,3627679,Koil,1454.63,44,2025-02-21
76,1446122,El gravy,1449.36,34,2022-04-29
77,1980868,TOMAFIA | Joe Cool,1447.7,48,2025-03-07
78,3112289,KornDog | OatNeil314,1444.8,75,2026-03-06
79,2054812,AlexSwaggers,1441.98,38,2023-03-06
80,2964631,MiSt | BlazedOnaKayak,1439.6,39,2024-05-03
81,3592244,MentalSpawn,1436.16,33,2023-11-17
82,3593091,HOODLUMS | Stickfan,1429.28,276,2026-04-17
83,864802,Lenkrow,1424.16,35,2026-04-24
84,3644031,Sol,1424.1,161,2026-04-24
85,2433509,Toyakazu/Toya,1422.64,26,2024-09-13
86,1367265,wing,1421.66,177,2024-11-22
87,2557260,ineedahobby,1416.5,107,2023-02-06
88,2464010,Lowtierfrog,1413.41,131,2026-04-24
89,4946591,Ø | Ves,1408.97,51,2026-04-10
90,3365269,Silly | RandomHero,1405.8,35,2024-12-06
91,1108208,KornDog | Dr./Mr.Shnazzy,1405.54,354,2026-04-24
92,2978351,veto,1400.33,52,2025-04-25
93,2424623,J,1395.07,27,2024-03-23
94,4939072,Slippy,1394.39,35,2026-04-24
95,3627071,Minus Strike,1394.27,32,2025-09-26
96,2998902,Merlin,1392.12,40,2025-05-02
97,2986715,RawMallard,1388.87,27,2024-03-23
98,4419757,Leafe-off,1386.98,28,2026-02-13
99,1603916,blaz1ng,1383.78,53,2025-04-30
100,3652534,Shroom | Jonald,1377.24,46,2026-01-24
101,600248,Minch,1373.45,72,2024-11-08
102,3057747,pp | sparx1o1,1371.82,179,2025-11-15
103,2593995,Gillgeorge,1369.28,42,2024-09-06
104,3593184,Dragonfire | Hearth,1361.59,78,2025-12-05
105,2620853,Beta,1356.23,34,2024-09-20
106,2509116,Avery,1353.0,107,2025-04-11
107,2770921,BuyingLake,1351.95,222,2026-04-17
108,4288755,Nessie,1351.63,86,2026-04-24
109,2954896,MrKnowlan,1350.28,41,2024-09-20
110,3607435,Juliano,1321.34,103,2026-02-06
111,851848,Maxis,1311.15,74,2023-09-16
112,2556656,KornDog | ShmeatyMcdoogle*,1309.09,75,2025-02-21
113,3071183,comedian,1297.73,70,2024-09-20
114,3607165,NamesRHard,1280.08,85,2025-10-17
115,3020775,SWAG | Pinu,1279.37,145,2026-02-13
116,3596097,beans | justa_noob,1208.38,87,2026-04-10
