rank,id,player,rating,matches,wins,losses
1,2193397,WNL | storm,2310.47,6,6,0
2,1418775,Riddul,2044.52,7,5,2
3,637418,WNL | Lem0nade,2040.57,14,11,3
4,2539902,Horchata | Owls,2013.67,6,4,2
5,1080845,UTK | DBQ | HammerBro,1925.78,7,5,2
6,5515314,Krif,1917.04,6,4,2
7,1034981,TheCompany | Hidalgo,1833.97,11,7,4
8,1904792,Smyles,1759.37,6,4,2
9,987081,z0id | soup#OKPG,1705.77,10,6,4
10,53801,BtB | Orex,1703.0,10,6,4
11,3496538,Silvstar,1647.62,5,3,2
12,159433,MaYo,1610.54,5,3,2
13,1590569,TTU | Solar Colony,1568.98,6,4,2
14,1288242,Popsei,1545.18,6,4,2
15,250179,DJF | Meezy,1527.99,10,6,4
16,2156150,Applesauced,1454.57,5,3,2
17,2263984,z0id | AhribockanonaD.E.M.#OKPG,1178.54,5,3,2
18,5529815,CE | ketaminmin,1165.79,5,3,2
19,1560318,TheCompany | SmokedSam,1165.79,5,3,2
20,5528466,CruzControl,860.16,5,1,4
