SetID,Timestamp,Tournament,Date,Player1ID,Player2ID,Player1,Player2,Player1Score,Player2Score,Winner
43904445,1642825328,Smash the Cave @ETSU #15,2022-01-21,477716,436261,Buzzeh,BrandonBSaysWhat,3,0,Buzzeh
43904444,1642822272,Smash the Cave @ETSU #15,2022-01-21,477716,436261,Buzzeh,BrandonBSaysWhat,3,1,Buzzeh
43904572,1642825303,Smash the Cave @ETSU #15,2022-01-21,436261,1281231,BrandonBSaysWhat,TPN | Hispanerd,3,0,BrandonBSaysWhat
43904571,1643039661,Smash the Cave @ETSU #15,2022-01-24,1281231,2539902,TPN | Hispanerd,Owls,3,2,TPN | Hispanerd
43904442,1642817616,Smash the Cave @ETSU #15,2022-01-21,477716,870716,Buzzeh,PRISM | Kotar,3,0,Buzzeh
43904443,1642817772,Smash the Cave @ETSU #15,2022-01-21,64572,436261,ishtaria,BrandonBSaysWhat,2,3,BrandonBSaysWhat
43904569,1642820267,Smash the Cave @ETSU #15,2022-01-21,870716,1281231,PRISM | Kotar,TPN | Hispanerd,1,3,TPN | Hispanerd
43904570,1642821763,Smash the Cave @ETSU #15,2022-01-21,64572,2539902,ishtaria,Owls,0,3,Owls
43904567,1642819202,Smash the Cave @ETSU #15,2022-01-21,389201,1281231,Harlequin,TPN | Hispanerd,2,3,TPN | Hispanerd
43904568,1642819774,Smash the Cave @ETSU #15,2022-01-21,1107122,2539902,DDLG | benJAMIN,Owls,1,3,Owls
43904439,1642815104,Smash the Cave @ETSU #15,2022-01-21,2539902,870716,Owls,PRISM | Kotar,1,2,PRISM | Kotar
43904440,1642814533,Smash the Cave @ETSU #15,2022-01-21,64572,644599,ishtaria,SnOwO,2,0,ishtaria
43904441,1642815125,Smash the Cave @ETSU #15,2022-01-21,436261,1281231,BrandonBSaysWhat,TPN | Hispanerd,2,0,BrandonBSaysWhat
43904438,1642815617,Smash the Cave @ETSU #15,2022-01-21,477716,444554,Buzzeh,_Peak,2,0,Buzzeh
43904563,1642817692,Smash the Cave @ETSU #15,2022-01-21,644599,389201,SnOwO,Harlequin,1,2,Harlequin
43904564,1642818073,Smash the Cave @ETSU #15,2022-01-21,1281231,1525406,TPN | Hispanerd,DaD | Coffee Clutch,2,0,TPN | Hispanerd
43904565,1642818062,Smash the Cave @ETSU #15,2022-01-21,444554,1107122,_Peak,DDLG | benJAMIN,1,2,DDLG | benJAMIN
43904566,1642817679,Smash the Cave @ETSU #15,2022-01-21,2539902,847786,Owls,KniGHT,2,0,Owls
43904559,1642816843,Smash the Cave @ETSU #15,2022-01-21,2263776,389201,Blossom,Harlequin,0,2,Harlequin
43904560,1642817568,Smash the Cave @ETSU #15,2022-01-21,1525406,2038844,DaD | Coffee Clutch,D3eity,2,1,DaD | Coffee Clutch
43904561,1642816953,Smash the Cave @ETSU #15,2022-01-21,1107122,1962010,DDLG | benJAMIN,Alight,2,0,DDLG | benJAMIN
43904562,1642817084,Smash the Cave @ETSU #15,2022-01-21,2054812,847786,AlexSwaggers,KniGHT,0,2,KniGHT
43904430,1642814448,Smash the Cave @ETSU #15,2022-01-21,477716,2038844,Buzzeh,D3eity,2,0,Buzzeh
43904431,1642813911,Smash the Cave @ETSU #15,2022-01-21,1525406,444554,DaD | Coffee Clutch,_Peak,1,2,_Peak
43904432,1642813505,Smash the Cave @ETSU #15,2022-01-21,389201,2539902,Harlequin,Owls,1,2,Owls
